filename,info
data-weccl/human/weccl_2206.txt,WECCL-03_1_1_11_low
data-weccl/human/weccl_1158.txt,WECCL-03_1_1_11_low
data-weccl/human/weccl_1144.txt,WECCL-03_1_1_5_low
data-weccl/human/weccl_1611.txt,WECCL-03_1_1_12_low
data-weccl/human/weccl_0993.txt,WECCL-03_1_2_11_low
data-weccl/human/weccl_1241.txt,WECCL-03_1_3_11_low
data-weccl/human/weccl_0221.txt,WECCL-03_1_1_10_low
data-weccl/human/weccl_2198.txt,WECCL-03_1_3_12_low
data-weccl/human/weccl_4678.txt,WECCL-03_1_2_11_low
data-weccl/human/weccl_4096.txt,WECCL-03_1_1_12_low
data-weccl/human/weccl_1699.txt,WECCL-03_1_3_15_medium
data-weccl/human/weccl_2402.txt,WECCL-03_1_2_15_medium
data-weccl/human/weccl_4033.txt,WECCL-03_1_3_16_medium
data-weccl/human/weccl_3577.txt,WECCL-03_1_3_16_medium
data-weccl/human/weccl_2681.txt,WECCL-03_1_1_16_medium
data-weccl/human/weccl_3952.txt,WECCL-03_1_1_14_medium
data-weccl/human/weccl_0467.txt,WECCL-03_1_2_15_medium
data-weccl/human/weccl_1625.txt,WECCL-03_1_1_15_medium
data-weccl/human/weccl_3101.txt,WECCL-03_1_3_17_medium
data-weccl/human/weccl_3029.txt,WECCL-03_1_1_15_medium
data-weccl/human/weccl_0798.txt,WECCL-03_1_1_13_medium
data-weccl/human/weccl_1003.txt,WECCL-03_1_2_17_medium
data-weccl/human/weccl_2080.txt,WECCL-03_1_1_16_medium
data-weccl/human/weccl_0207.txt,WECCL-03_1_1_17_medium
data-weccl/human/weccl_4041.txt,WECCL-03_1_3_14_medium
data-weccl/human/weccl_2665.txt,WECCL-03_1_3_14_medium
data-weccl/human/weccl_2786.txt,WECCL-03_1_2_17_medium
data-weccl/human/weccl_4433.txt,WECCL-03_1_1_15_medium
data-weccl/human/weccl_1261.txt,WECCL-03_1_3_17_medium
data-weccl/human/weccl_3034.txt,WECCL-03_1_1_16_medium
data-weccl/human/weccl_2807.txt,WECCL-03_1_2_17_medium
data-weccl/human/weccl_3506.txt,WECCL-03_1_1_13_medium
data-weccl/human/weccl_2093.txt,WECCL-03_1_1_14_medium
data-weccl/human/weccl_3965.txt,WECCL-03_1_1_15_medium
data-weccl/human/weccl_0311.txt,WECCL-03_1_3_16_medium
data-weccl/human/weccl_3038.txt,WECCL-03_1_1_16_medium
data-weccl/human/weccl_2547.txt,WECCL-03_1_1_15_medium
data-weccl/human/weccl_2642.txt,WECCL-03_1_3_16_medium
data-weccl/human/weccl_3156.txt,WECCL-03_1_1_13_medium
data-weccl/human/weccl_3805.txt,WECCL-03_1_2_16_medium
data-weccl/human/weccl_2098.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_1143.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_0289.txt,WECCL-03_1_3_18_high
data-weccl/human/weccl_2085.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_0707.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_0334.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_1868.txt,WECCL-03_1_2_18_high
data-weccl/human/weccl_0695.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_2876.txt,WECCL-03_1_2_18_high
data-weccl/human/weccl_2101.txt,WECCL-03_1_1_18_high
data-weccl/human/weccl_4603.txt,WECCL-17_2_1_10_low
data-weccl/human/weccl_2817.txt,WECCL-17_2_1_12_low
data-weccl/human/weccl_0488.txt,WECCL-17_2_1_12_low
data-weccl/human/weccl_0009.txt,WECCL-17_2_1_12_low
data-weccl/human/weccl_4658.txt,WECCL-17_1_2_10_low
data-weccl/human/weccl_0483.txt,WECCL-17_2_1_11_low
data-weccl/human/weccl_4141.txt,WECCL-17_2_1_10_low
data-weccl/human/weccl_1877.txt,WECCL-17_2_1_7_low
data-weccl/human/weccl_0019.txt,WECCL-17_2_1_7_low
data-weccl/human/weccl_2747.txt,WECCL-17_2_1_9_low
